,Date,Datetime,Close_Real_EYAC2,Volume_EYAC2,Close_Dolar_EYAC2,Price_Dolar_Petro,Volume_Petro,Change%_Petro,Indíce_Ibovespa,Change%_Ibovespa,Value_IPCA,target,retorno_acao,retorno_petro,retorno_ibov,mm7_acao,mm7_petro,vol_7_acao,vol_7_ibov,lag1_acao,lag7_acao,lag30_acao,lag90_acao,lag1_petro,lag1_ibov,lag1_ipca
90,2010-05-21,2010-05-21 16:56:00,28.07593615,28528898.38,15.55884519257412,70.04,449.43,0.0298,60259.33,-9.070163425035773,0.0043,25.76838615,-0.06182879607649039,0.02984855168357603,0.035524593724781894,29.646888807142858,70.48857142857143,1.1524455720938747,2327.43939560704,29.92623951,30.39852829,34.65987752,37.93762146,68.01,58192.08,0.0043
91,2010-05-24,2010-05-24 16:56:00,25.76838615,14996109.09,14.378877378494504,70.21,279.82,0.0024,59915.14,-13.057344435189666,0.0043,26.48204948,-0.082189601360808,0.0024271844660193054,-0.005711812593999999,28.939281314285715,69.89,1.74888164152684,1833.964487394356,28.07593615,30.7216386,36.33675025,37.77421972,70.04,60259.33,0.0043
92,2010-05-25,2010-05-25 16:56:00,26.48204948,24219409.06,14.419062114777306,68.75,395.4,-0.0208,59184.08,-13.526235336781722,0.0043,26.6853372,0.027695305629374722,-0.020794758581398565,-0.012201590449425592,28.52366833857143,69.48142857142857,1.956868838611154,1466.284613603474,25.76838615,29.39134031,33.3801014,38.80535714,70.21,59915.14,0.0043
93,2010-05-26,2010-05-26 16:56:00,26.6853372,20468881.44,14.287807035391124,71.51,405.52,0.0401,60190.36,-12.605394882153751,0.0043,27.25597174,0.007676434565743406,0.040145454545454706,0.017002545279068304,28.066062655714283,69.68571428571428,1.9590252235009322,858.492636152677,26.48204948,29.88857698,33.51527447,36.42592902,68.75,59184.08,0.0043
94,2010-05-27,2010-05-27 16:56:00,27.25597174,18333085.05,14.567595799037948,74.55,401.81,0.0425,62091.77,-6.644499940611426,0.0043,29.27274015,0.021383823472914676,0.04251153684799314,0.031589942309698804,27.50304884285714,70.42,1.3940849577598828,1189.1442665190125,26.6853372,31.19706843,31.72689888,35.03778748,71.51,60190.36,0.0043
95,2010-05-28,2010-05-28 16:56:00,29.27274015,20301487.26,15.80430847100745,73.97,420.67,-0.0078000000000000005,61946.99,-7.064241008009676,0.0043,31.91414614,0.07399363446801122,-0.007780013413816178,-0.002331709983464769,27.638094340000002,71.00571428571428,1.5267281452542965,1399.926231770734,27.25597174,28.32742167,34.0167849,36.10372089,74.55,62091.77,0.0043
96,2010-06-01,2010-06-01 16:56:00,31.91414614,25987856.5,17.287333373056715,72.58,438.59,-0.018799999999999997,61840.99,-13.06695002863515,0.0,28.42509425,0.09023432642331564,-0.018791401919697193,-0.0017111404444348777,27.922081001428573,71.65857142857143,2.1003914193658093,1163.4633430654178,29.27274015,29.92623951,33.34151032,39.20442744,73.97,61946.99,0.0043
97,2010-06-02,2010-06-02 16:56:00,28.42509425,13859458.55,15.509108604321256,72.86,391.03,0.0039000000000000003,62942.91,-7.135305306232775,0.0,27.31065259,-0.1093261864094478,0.0038578120694405804,0.017818602192494204,27.971960730000003,72.06142857142856,2.1087832075043114,1385.892818984971,31.91414614,28.07593615,34.10805838,35.63270268,72.58,61840.99,0.0
98,2010-06-04,2010-06-04 16:56:00,27.31065259,15178153.49,14.981980684623403,71.51,448.49,-0.0415,61675.75,-4.923082282965197,0.0,29.27628114,-0.039206260855230046,-0.01852868514960193,-0.020131894124373995,28.19228450714286,72.24714285714286,1.9115259722927977,1278.1234629553487,28.42509425,25.76838615,36.42498397,33.11756685,72.86,62942.91,0.0
99,2010-06-07,2010-06-07 16:56:00,29.27628114,16452003.63,16.11508842406561,71.44,417.31,-0.001,61182.92,-2.684804157345977,0.0,29.60169992,0.07197296159520294,-0.0009788840721578485,-0.007990660835093255,28.591460458571426,72.63142857142857,1.7822431571424417,849.1220432472643,27.31065259,26.48204948,35.83134417,35.1766874,71.51,61675.75,0.0
